a	art.一(个) 每
doubt	n.怀疑 疑虑 不信任 vt.怀疑 不信任 vi.不确定
doubtful	adj.难以预测的 怀疑的 疑心的 不确定的

单词	释义
doubtless	adv.无疑地 很可能 确定地 adj.无疑的 确定的
down	adv. 向下 在下面 下跌 在南方 adj. 向下的 降低的 情绪低落 停止运行 n. 绒毛 汗毛 轻视 prep.沿着...而下
downstairs	adv.在楼下 向楼下 adj.楼下的 n.楼下
downward	adj.向下的 adv.向下地
dozen	n.一打 十二个 adj.一打的 十二个的
draft	n.草稿 草图 汇票 徵兵 vt.起草 征兵 选秀 adj.酝酿中的
drag	vt.拖 拉 拖曳 拖累 拖拉(动) vi.拖拉(动) 缓慢地行走 n.用来拖拉的东西 拖 拖累
dragon	n.龙 凶暴的人 严厉的人
drain	vt.排去 放水 耗尽 排出 排干 喝光 vi.变干 排出 排水 n.下水道 排水沟 消耗 耗竭
drama	n.一出戏剧 剧本 戏剧 戏剧性情节 刺激
dramatic	adj.引人注目的 戏剧的 给人深刻印象的 n.(pl.)戏剧作品 戏曲
dramatization	n.编剧 改编成戏剧
draw	vt.(drew drawn) 拉 拖 挨近 提取 画 绘制 划 拨出 n.平局抽签 拉 拽 吸引人的事物
drawer	n.抽屉
drawing	n.图画 素描 绘图 绘图技巧
dread	n.畏惧 恐怖 可怕的人 可怕的事 vt.惧怕 恐惧 adj.可怕的可怖的
dream	n.梦 梦想 vt. & vi.做梦 想象
dress	n.女服 童装 服装 vt. & vi.穿著 adj.正式的(衣服)
drift	vi.漂流 漂泊 吹积 n.漂流 漂移 漂流物 观望 吹积物 趋势 vt.使漂流 把...吹积
drill	n.钻头 钻孔机 钻子 播种机 操练 vi.钻孔 vt.训练 钻孔
drink	vt. & vi.饮 喝 喝酒 n.饮料
drip	vi.滴下 漏水 n.水滴 滴 点滴 乏味的人
drive	vt. & vi.驾驶 驱 驱使 驾进力 打入 n.驾车 快车道 推进力驱使 路 街 [计算机] 驱动器
driver	n.驾驶员 司机
drop	vt.使落下 降低 减少 vi.落下 减少 减弱 n.滴 微量 落下
drought	n.旱灾 干旱
drown	vi.淹死 溺死 vt.淹死 沉浸于
drug	n.药 药物 药材 毒品 vt.下药 使...服麻醉药 vi.吸毒
drum	n.鼓 鼓声 鼓状物 圆桶 冰丘 vi.击鼓 作鼓声 引起兴趣 vt.召集入伍 逐出 (经过努力)推动... 连续击打
drunk	adj.醉的 陶醉的 vbl.喝 喝酒
dry	adj.干的 干燥的 干旱的 不行于色的 枯燥无味的 无酒的 口渴的 vt.把...弄干 vi.(使)变干
duck	n. 鸭 雌鸭 鸭肉 板球零分 vt. 把…按入水中 低头弯身(以免被打中或看见) 躲避 vi. 迅速行进 飞快行走(以免被看见) 推委责任
due	adj.预期的 应给的 到期的 应有的 预定的 n.应得物
dull	adj.枯燥的 不鲜明的 呆滞的 迟钝的 无趣的 钝的 暗的 vt.使变钝 vi.变钝
dumb	adj.哑的 无言的 沉默的 愚蠢的vt.使人沉默

单词	释义
dump	vt.倾卸 倾倒 倾销 丢弃 抛售 导出 vi.骤降 扔垃圾 n.垃圾场 堆放处
durable	adj.耐久的 耐用的 n.(复)耐用品
duration	n.持续 持久 持续时间 期间
during	prep.在...期间
dusk	n.薄暮 黄昏 幽暗 vi.(天)变黑 变暗 vt.把…变黑变暗 adj.颜色暗沉的 昏暗的
dust	n.尘土 灰尘 无价值之物 屈辱状态 vt.拂去灰尘 撒上粉状物体 大胜 vi.擦拭灰尘
duty	n.职责 责任 义务 税 adj.值班的 作为一种义务的
dwelling	n.住处 寓所
dye	vt.染 vi.染色 n.染料 染色
dying	adj.垂死的 临终的 n.死 死亡
dynamic	adj.有活力的 动态的 (有)动力的 (有)力的 n.动力 力学
each	pron.各 各自 adj.每个 每 每一 adv.每个 int.每个 个人 个自
eager	adj.渴望的 热切的
eagle	n.鹰 vt.(高尔夫)鹰击
ear	n.耳朵 听力 听觉 倾听 麦穗 vi.长出麦穗
early	adv.早 adj.早的 早期的
earn	vt.赚得 挣得 获得 赚得 赢得 生利
earnest	adj.认真的 诚恳的 重要的 n.真诚 重要的东西 定金 保证
earth	n.地球 陆地 地面 泥土 世间 大地 地球人 vt.赶入洞中 提取土壤 vi.躲入洞穴
earthquake	n.地震 大震荡
ease	n.容易 舒适 安乐 n.安逸 悠闲 vt.缓和 使...安乐 使...安心 v.减轻 放松
easily	adv.容易地 舒适的 无疑地
east	n.东 东部 adv.在东方 向东方 adj.东方的
eastern	adj.东部的 东方的 朝东的
easy	adj.容易的 安逸的 不费力的 adv.慢慢地 当心地
eat	vt.吃 喝 消耗 vi.吃饭 侵蚀 n.食物
echo	n. 回声 回音 回波 反响 共鸣 vi. 重复 发回声 回响 仿效 vi. 回响 回荡 n. [计算机] DOS命令：禁止(或允许)批处理命令行显示屏幕上
economic	adj.经济的 经济学的 有利可图的 n. [-s]经济学(状况等)
economical	adj.节约的 节俭的 经济的 合算的 经济学的
economy	n.经济 节约 节省 adj.经济型的
edge	n.边缘 边 刀口 vt.给...加上边 缓慢横过 使逐渐丧失 vi.徐徐前进
edition	n.版 版本 版次
editor	n.编辑 编者 校订者
educate	vt.教育 培养 训练
education	n.教育 培养 训导 教育学
effect	n.结果 效果 效力 影响 要旨 vt.招致 引起 实现 达到 n.(pl.)财产 动产
effective	adj.有效的 有影响的
efficiency	n.效率 功效 效能

单词	释义
efficient	adj.效率高的 有能力的 胜任的
effort	n.努力 努力的成果
egg	n.蛋 鸡蛋 卵 (俚语)人
eight	num.八 八个 第八
eighteen	num.十八 十八个
eighth	num.第八 n.八分之一
eighty	num.八十 八十个
either	pron.(两者)任何一个 adj.任一 两方的 adv.也 conj.或 也
elaborate	adj.复杂的 精心制作的 精细的 详尽的 精心的 v.详细地说明用心地作 推敲
elastic	n.橡皮圈 有松紧的东西 松紧带 adj.有弹性的 灵活的 可变的
elbow	n.肘 肘部 弯管 急弯 扶手 v.用手肘推开 推挤
elder	adj.年龄较大的 年长的 n.长者 长辈
elect	vt.选举 推选 选择 n.当选人 被选的人 上帝的选民 adj.被选的 选出的
election	n.选举 选择权 当选
electric	adj.电的 电动的 令人激动的 鲜亮的 n.供电
electrical	adj.电的 电气科学的 与电有关的
electricity	n.电 电学 电流
electron	n.电子
electronic	a.电子的
electronics	n.电子学 电子器件
element	n.成分 要素 元素 基本原理 (复数)恶劣天气
elementary	adj.基本的 初级的 元素的
elephant	n.象 庞大笨拙难处理的事物
elevator	n.电梯 升降机 飞机升降舵 斗式皮带输送机
eleven	num.十一 十一个
eleventh	num.第十一(个)
eliminate	vt.消灭 消除 排除 除去 剔除 忽略
elimination	n.消灭 排除 除去 消除
else	adv.其它 另外 否则 adj.别的 其他的
elsewhere	ad.在别处 向别处
embarrass	vt.使窘迫 使为难 阻碍 vi.变得困窘
embrace	vt.拥抱 包括 包围 信奉 包含 n.拥抱
emerge	vi.出现 涌现 冒出 (由某种状态)脱出 (事实)显现出来
emergency	n.紧急情况 突然事件
emit	vt.散发 发射 发表 发出 放射 吐露
emotion	n.情感 感情 情绪 激动
emotional	adj.感情的 情绪的
emperor	n.皇帝
emphasis	n.强调 重点 重要性
emphasize	vt.强调 着重
empire	n.帝国
employ	vi.雇用 使用 使忙于
employee	n.受雇者 雇员 雇工
employer	n.雇佣者 雇主
employment	n.工业 雇用 使用 职业

单词	释义
empty	a.空的 空洞的
enable	vt.使能够 使可能 [计算机] 使能
enclose	vt.围住 圈起 附上 放入封套 [计算机] 括入
encounter	vt. & vi.遭遇 遇到 偶然碰到 n.遭遇 意外的相见
encourage	vt.鼓励 支持 助长 激励 支持
end	n.末端 目标 结束 终点 vt. & vi.结束 终结 adj.最终的
ending	n.结尾 结局 死亡
endless	adj.无止境的 没完没了的
endure	vt.忍受 容忍 vi.持久 持续
enemy	n.敌人 仇敌 敌兵 敌对势力 有害物
energy	n.活力 精力 能力 能 能量
enforce	vt.实施 执行 强制 强迫 加强
engage	vt.使从事于 聘用 答应 预定 使忙碌 订婚
engine	n.发动机 引擎 机车 火车头 vt.装引擎
engineer	n.工程师 技师 机械师 vt.操纵 设计 建造
engineering	n.工程 工程学
England	n.英格兰 英国
English	n.英语 adj.英国人的 英国的 英语的 vt.译成英语 把...(外来语言)加到英语中 Englishman ['iŋgliʃmən] n.英国男子
enjoy	vt. & vi.享受 欣赏 喜爱
enlarge	vt.扩大 扩展 增大 放大
enormous	adj.巨大的 庞大的
enough	adj.足够的 adv.足够地 完全地 pron.足够 受够
ensure	vt.保证 保护 赋予
enter	vt. 走进 进入 参加 报名 开始 加入 报价 提出 vi. 进入 参加 开始 上台 进入角色 [计算机] 送入
entertain	vt. & vi.使欢乐 招待 怀抱
enthusiasm	n.热情 热心 热忱 热衷的事物
enthusiastic	adj.热情的 热心的
entire	adj.全部的 整个的 完整的 同性质的 纯正的 全面的
entitle	vt.给...权利(或资格) 取名为 使有权利
entrance	n.入口 门口 进入 登场 vt.使神志恍惚
entry	n.入口处 登记 进入 入口 项目
envelope	n.信封 封套 封皮 壳层
environment	n.环境 外界 围绕
envy	vt. & vi. & n.妒忌 嫉妒 羡慕
equal	adj.相等的 平等的 胜任的 n.对手 匹敌 同辈 vt.等于 比得上 [计算机] 相等
equality	n.等同 平等 相等
equation	n.方程(式) 等式 均衡 相等
equip	vt.装备 配备 设 穿…
equipment	n.装备 设备 配备
equivalent	adj.相等的 等量的 n.相等物
era	n.时代 年代 纪元
erect	vt.建造 建立 使竖立 adj.直立的 竖立的 笔直的
error	n.错误 谬误 差错

单词	释义
esp.	adj.(=especial)特别的 特殊的 尤其 adv.(=especially)特别特殊
escape	vt. & vi.逃跑 逃脱 避开 逸出 n.逃跑 逃亡 避难设备 adj.逃避的
especially	adv.特别 尤其 格外
essay	n.短文 散文 论文 小品文 尝试 vt.尝试
essential	adj.必要的 重要的 本质的 n.要素 要点
establish	vt.建立 设立 确立 创办
establishment	n.建立 设立 确立 设施 机构 权威
estimate	vt.估计 估价 评价 n.估计 估价
etc.	n.附加的人 附加物 以及其它 等等 = etcetera
Europe	n.欧洲
European	adj.欧洲的 n.欧洲人
evaluate	vt.评估 评价 估...的价
evaporate	vt.使蒸发 vi.蒸发 失去水分 消失
eve	n.前夜 前夕 前一刻 [Eve] 夏娃
even	adv.甚至 甚至更 还 恰好 正当 adj.平坦的 偶数的 相等的均匀的 v.使平坦 相等
evening	n.傍晚 黄昏 晚上
event	n.事件 大事 事变 项目 活动
eventually	adv.终于 最后
ever	adv.在任何时候 曾经 永远 究竟
every	adj.每一的 每隔...的
everybody	pron.每人 人人 各人
everyday	adj.每天的 日常的 平常的
everyone	pron.每人 人人 n.每个人
everything	pron.每件事 事事 一切
everywhere	adv.到处 处处 无论何处
evidence	n.根据 证据 证人 vt. & vi.证实 证明
evident	adj.明显的 明白的
evil	n.邪恶 罪恶 祸害 adj.邪恶的 坏的
evolution	n.进化 演化 发展
evolve	vt. & vi.使进化 使发展 展开
exact	adj.确切的 精确的 vt.强求 要求 索取
exactly	adv.确切地 恰恰正是
exaggerate	vt. & vi.夸大 夸张
exam	n.考试 检查 细查=examination 考试
examination	n.考试 检查 细查 审讯
examine	vt.检查 仔细观察 调查 考试 vi.调查 [计算机] 检测
example	n.例子 实例 模范 榜样 vt.把...作为例子
exceed	vt.超过 胜过 超出 超出界限 vi.领先
exceedingly	adv.极端地 非常 很
excellent	adj.优秀的 杰出的
except	prep. & conj.除了...之外 若不是 除非 vt.除 除外
exception	n.例外 除外
excess	n.超越 过量 过度 adj.过量的 额外的
excessive	adj.过多的 过分的 极度的

单词	释义
exchange	vt. & vi.交换 交流 交易 兑换 n.交换 交换物 汇兑 交易所
excite	vt.使激动 引起 刺激 激励
exciting	adj.令人兴奋的
exclaim	vi.呼喊 惊叫 大声叫
exclude	vt.把...排除在外 拒绝 [计算机] 排除
exclusively	adv.专门地 排他地(独占地 专门地 仅仅 只)
excursion	n.远足 短途旅行
excuse	vt.原谅 免除 辩解 准许离开 同意赦免 n.借口 理由 低劣的样品 假条
execute	vt.将...处死 实施 执行 完成 [计算机] 执行
executive	adj.执行的 行政的 决策的 经营的 [计算机] 执行指令 n.执行者 主管 行政部门
exercise	n.锻炼 训练 练习 作业 运动 vi.练习 锻炼 vt.运用
exert	vt.尽(力) 运用 施加(压力 影响等)
exhaust	vt.使筋疲力尽 用尽 排空 vi.耗尽 n.排气 排气装置
exhibit	vt.显示(感情或品质) 陈列 展览 展现 提出证据 vi.展览 n.展览品 展览 物证
exhibition	n.展览 陈列 展示 展览会
exist	vi.存在 生存 生活
existence	n.存在 实在 生存
exit	n.出口 退场 离去 vi.退出 死亡 vt.离开
expand	vt.扩大 增加 详述 扩展 使膨胀 vi.扩展 增加 详述
expansion	n.扩大 扩充 扩张 膨胀
expect	vt.预料 预期 等待 盼望
expectation	n.期待 期望 预期
expense	n.花费 消费 费用 代价
expensive	adj.昂贵的 花钱多的 豪华的
experience	n.经验 感受 经历 vt.经历 体验
experiment	n.实验 试验 尝试 vi.做实验 尝试
experimental	adj实验(性)的 试验(性)的
expert	n.专家 能手 adj.熟练的 内行的 vi.当专家
explain	vt. & vi.解释 说明 为...辩解
explanation	n.解释 说明 辩解
explode	vt.使爆炸 驳倒 vi.爆炸 爆发(感情) 激增 [计算机] 爆炸
exploit	vt. & vi.剥削 利用 开拓 开发 n.功绩 勋绩
explore	vt. & vi.探险 探索 探测 探究 [计算机] 探讨
explosion	n.爆炸 爆发 炸裂 激增
explosive	n.炸药 adj.爆炸(性)的
export	vt.输出 出口 运走 n.出口 输出品 vi.传播 输出 adj.出口的
expose	vt.使暴露 揭露 揭穿 使遭受(危险或不快)
exposure	n.暴露 揭露 显露 曝光 面临(困难)
express	vt.表达 表示 挤压出 快递 n.快车 快递 专使 adj.急速的 明确的 直接的 adv.用快递 特意地
expression	n.词句 措辞 表达 表示 表现 表情
extend	vt.延长 延伸 伸展 扩大 扩充 扩展 致
extension	n.延长部分 伸展 扩充 范围 分机号码
extensive	adj.广阔的 广泛的

单词	释义
extent	n.广度 范围 程度 宽度 长度 大小 [律] <英>扣押 <美>临时所有权令
exterior	adj.外部的 外在的 表面的 对外的 [计算机] 外部的 n.外部表面 外型
external	adj.外部的 外面的 外用的 客观的 表面的 n.外部
extra	adj.额外的 ad.特别地 n.额外的事物 另外收费的
extraordinary	adj.非同寻常的 特别的 非凡的 特派的
extreme	adj.极度的 极端的 尽头的 严重的 末端的 n.极端 极限
extremely	adv.极端 极其 非常
eye	n.眼睛 眼力 鉴赏力 v.看 注视
eyesight	n.视力 目力
facility	n.设备 容易 便利 灵巧 容易 熟练
fact	n.事实 实际 实情
factor	n.因素 因子 系数 vt.把…因素包括进去 vi.作为因素
factory	n.工厂 制造厂
faculty	n.才能 能力 (大学的)系 科 全体教员
fade	vi.褪色 逐渐消失 凋谢 vt.使褪色 n.淡入 淡出 adj.平凡的乏味的
Fahrenheit	n.华氏温度计 adj.华氏的
fail	vi.失败 失灵 不能 衰退 不及格 vt.辜负 缺少 未能做 n.不及格
failure	n.失败 失败的人或事
faint	adj.微弱的 虚弱的 无力的 模糊的 v.昏倒 n.昏厥 昏倒
fair	adj.公平的 晴朗的 美丽的 相当的 (皮肤 毛发等)浅色的 白皙的 n. 展览会 市集 定期集市 adv. 公平地 直接地
fairly	adv.相当 公平地 公正地 合法地 适当地
faith	n.信任 信心 信仰
faithful	adj.忠诚的 如实的
fall	vi.落下 跌倒 倒下 陷落 来临 n.秋天 落下 瀑布
false	adj.不真实的 伪造的 人造的 假的 错误的 虚伪的 adv.不真诚地 虚伪地
fame	n.名声 名望 vt.使有名望
familiar	adj.熟悉的 熟知的 不拘礼节的 冒昧的 n.熟人 熟悉某种事物的人
family	n.家 家庭 家族 adj.家庭的
famine	n.饥荒 严重的缺乏
famous	adj.著名的 出名的 一流的
fan	n.(运动等)狂热爱好者 风扇 扇形物 vt.风选 煽 吹 煽动 向扇子一样展开 vi.像扇子一样行动 鱼贯而出
fancy	n. 想象力 设想 幻想 爱好 喜好 adj. 想像的 时髦的 华丽装饰的 奢侈的 技巧的vt.想象 自认为 喜好
far	adj.远的 adv.远 遥远 n.远处
fare	n.车费 船费 票价 费用 食物 vi.进展 进食
farewell	int.再会 别了 n.告别 adj.告别的
farm	n.农场 农庄 农田 饲养场 vt.收费 务农 vi.务农
farmer	n.农民 农夫 农场主
farther	adv.更远地 进一步地 adj.更远的 进一步的
fashion	n.样子 方式 风尚 流行 时装vt.形成 适合

单词	释义
fashionable	adj.流行的 时髦的
fast	adj. 快速的 偏快的 固定的 关紧的 忠诚的 聪明的 耐久的野性的 adv. 快 很快地 固定地 彻底地 鲁莽的 超前的 vi. 绝食 斋戒 n. 禁食(期) 系泊用具
fasten	vt.扎牢 扣住 拴紧 使固定 系 强加于 vi.固定 系紧 抓紧
fatal	adj.致命的 毁灭性的 决定性的 命运的
fate	n.命运 天数 天意 vt.注定
father	n.父亲 神父 创始人 鼻祖 vt.作为父亲生育子女 vi.像父亲般照顾
father-in-law	n.岳父 公公
fatigue	n.疲劳 劳累 累活 adj.疲劳的 vt.使...疲劳 使...心智衰弱 vi.疲劳
fault	n.缺点 过失 故障 vt. & vi.挑剔 指责 发现错误 断裂
faulty	adj.有错误的 有缺点的
favour	n.好感 赞同 恩惠 好意 喜爱 偏爱 特权 vt.给予 关心 偏爱支持 利于 长得像 =favor
favourable	adj.有利的 有用的 良好的 赞成的
favourite	adj.特别受喜爱的 特别喜爱的 n.特别喜爱的人(或物)
fear	n.害怕 担心 敬畏 不安的原因 vt.害怕 敬畏
fearful	adj.害怕的 可怕的 担心的
feasible	adj.可行的 可能的
feast	n.盛宴 宴会 酒席 筵席 节日 节会 vt. & vi.款宴 享乐 请客
feather	n.羽毛 翎毛 羽状物 心情 种类 服饰 vt.用羽毛装饰 vi.长出羽毛
feature	n.特征 特色 面貌 vt.以...为特色 vi.起重要作用
February	n.二月
federal	adj.联邦(制)的 联邦政府的 联盟的 同盟的 n.联邦主义者 同盟盟友
fee	n.费 酬金 赏金 封地
feeble	adj.虚弱的 微弱的 无力的
feed	vt.喂(养) 饲养 靠...为生 vi.吃饲料 进食 n.饲养 饲料 一餐
feedback	n.回授 反馈 反应 成果
feel	vi.有知觉 似乎 同情 vt.触 摸 感觉 觉得 n.感觉 触觉 直觉氛围
feeling	n.感情 感觉 知觉 意识 气氛 adj.有感情的 富于同情心的 含情脉脉的
fellow	n.人 家伙 伙伴 朋友 同类 校董 研究生 adj.同类的 同事的同伴的
female	n.雌性的动植物 女子 adj.雌的 女(性)的 凹的
fence	n.栅栏 围墙 击剑术 买卖赃物的人 v.用篱笆围住 练习剑术防护 买卖赃物
fertile	adj.肥沃的 多产的 能繁殖的、
fertilize	v.施肥 使丰饶
fertilizer	n.肥料
festival	n.节日 音乐节 庆祝及祭祀 欢宴 adj.节日的 喜庆的
fetch	vt.拿来 请来 接去 航行到达 vi.取回 兜圈子 n.取得
fever	n.发热 发烧 狂热 vt.激怒 vi.发烧
few	adj.很少的 少数的 pron.少数 n.少量

单词	释义
fibre	n.纤维 纤维质 纤维组织 织地
fiction	n.小说 虚构 杜撰
field	n.田野 田地 原野 牧场 场地 领域 运动场 adj.田间的 野外的 vi.担任场外队员 vt.把(谷物等)暴晒于场上 上场
fierce	adj.凶猛的 猛烈的 残暴的 强烈的 狂热的
fifteen	num.十五 十五个 pron.十五(个 只...) adj.十五的 十五个的
fifth	num.第五 n.五分之一
fifty	num.五十 五十个
fight	vi.打架(仗) 斗争 战斗 斗志 vt.对抗 打架 vi.斗争 奋斗
figure	n.数字 外形 人物 图形 形状 外形 体型 v.演算 认为 领会到
file	n.档案 公文箱 锉刀 [计算机] 文件 vt.把...归档 列队行进申请
fill	vt.装满 盛满 占满 填充 弥漫 担任 n.足量
film	n.影片 胶卷 薄层 薄膜 vt.把...拍成电影 给...覆上一薄层 vi.从事电影拍摄
filter	vt. & vi.过滤 渗透 n.滤纸 筛选 滤波器 过滤器 滤色镜 [计算机] 过滤
final	adj.最后的 决定性的 n.决赛 期末考试
finally	adv.最后 最终 不可更改的
finance	n.财政 金融 财源 vt.给...提供资金 负担经费
financial	adj.财政的 金融的
find	vt. & vi.找到 发觉 找出 感觉到 认为 n.发现物
finding	n. 发现 发现物 调查(或研究)的结果 [律] 裁判 裁决 (复数）findings：(珠宝商等使用的)零碎的工具或材料 find的现在分词
fine	a. 美好的 优质的 精致的 晴朗的 健康的 纤细的 恭维的 辞藻华丽的 adv. 恰好地 合适地 n. 罚款 罚金 结尾 vt. 罚款 vi. 净化 细化
finger	n.手指 指针 指状物 vt.用手指触碰(演奏) (用手)指 vi.触摸用手指演奏乐器
finish	vt.完成 结束 获...第几名 vi.终结 完成 n.结束 完成 最后加工 结局 完美
fire	n.火 火灾 射击 vi.点燃 解职 开枪 开火
fireman	n.消防队员 司炉工
firm	n. 商行 商号 公司 vt. (使)变得坚实 定案 vi. 变硬 恢复 adj. 坚定的 坚固的 结实的 adv. 稳固地 坚定地
first	num. 第一 adv. 最初 首先 第一 优先 adj. 第一的 最早的一流的 n. (序数词)第一 第一个人或事物 (大学学位的) 最优等 (汽车 自行车等的) 最低挡
fish	n.鱼 鱼肉 vi.钓鱼 捕鱼
fisherman	n.渔民 渔夫 打鱼人 渔船
fist	n.拳(头) 抓住 vt.紧握 用拳头打
fit	vt.适合 安装 vi.适合 n.适宜 发作 adj.适宜的 健壮的
five	num.五 五个 第五
fix	vt. & vi.使固定 决定 修理 准备 n.困境 (船只、飞机等的)定方位 贿赂
flag	n.旗 旗帜 旗标 信号旗 旗舰旗 vt.打旗号 vi.无力地下垂 减退

单词	释义
flame	n. 火焰 火舌 鲜红色 光辉 恋人 怀念 辱骂信息 热情 vi. 焚烧 爆发 面红 发辱骂信息 vt. 用烟火发信号 用火对待 发辱骂信息
flare	vi.闪耀 闪光 vt.使闪亮 n.闪光 闪耀 [天] 耀斑
flash	n. 闪光 闪现 闪烁物 花哨 一瞬间 电脑动画技术 vi. 闪 闪现 闪烁 vt. 传送 用光联络 流露出 adj. 花哨的 炫耀的 昙花一现的
flat	adj.平的 扁平的 平坦的 单调的 adv.平直地 干脆地 n.一套房间 单元住宅 [英] 公寓 vt.变平 vi.降调
flavour	n.味 味道 风味 香味 vt给...加味
fleet	n.舰队 船队 团队 机群 vt. & vi.飞过 掠过 adj.跑得快的
flesh	n.肉 肌肉 肉体 人性 vt.用肉喂 赋予血肉 使长肉 vi.变胖
flexible	adj.易弯曲的 灵活的 柔韧的 可变通的
flight	n.航班 飞行 逃跑 航程 (鸟等)群 奇思妙想 一段楼梯 vi.滑行 vt.冲
float	vi. 漂浮 游荡 飘 vt. 使漂浮 提出 开办新公司 洽谈 n. 漂流物 装有轮子的展台或平板车 企业的日常零钱
flock	n.羊群 群 大量 信众 软填料 短绒 棉絮 毛屑 vt.塞填充料 vi.成群而行 聚集
flood	n.洪水 水灾 vt. & vi.灌溉 淹没 泛滥
floor	n.地板 楼层 底部 地面 议员 底线 vt.铺地板 击倒 油门踩到底
flour	n.面粉 粉 粉状物质 vt. & vi.研成粉末
flourish	vi.繁荣 茂盛 兴旺 活跃 手舞足蹈 vt.挥舞 n.挥舞 华丽词藻茂盛 兴旺 炫耀
flow	vi.流动 飘垂 涨潮 顺利进行 来 vt.使流动 淹没 n.流 水流循环 顺畅 涨潮
flower	n.花 花卉 开花 华丽 盛年 精英 自然发展的结果 vi.成熟。开花 vt.使开花 用花装饰
flu	n.流行性感冒
fluent	adj.流利的 流畅的
fluid	n.流体 液体 adj.流畅优美的 流体的 流动的 不稳定的
flush	vi.奔流 (脸)发红 冲刷 旺盛成长 vt.用水冲洗 惊起(一群鸟)抄...老窝 使兴奋 adj.丰足的 齐平的 满盈的 adv.正直地 羞涩地 n.流溢 面红 旺盛 冲水(尤指冲马桶) 突然萌发 (纸牌)同花顺 清一色 [计算机] 冲洗
fly	n.蝇 苍蝇 两翼昆虫 飞行 升高 vt. & vi.飞行 飞翔 逃走 飞逝 猛然移动
focus	vi.聚焦 注视 集中 聚集 使集中 n.焦点 焦距
fog	n.雾 烟雾 尘雾 朦胧 喷雾 迷惑 vt. & vi.以雾笼罩 使模糊迷惑
fold	vt.折叠 合拢 包 交叉 拥抱 vi.翻倍 彻底失败 倒闭 n.褶 折层 折痕 羊栏 羊群
folk	n.人们 家属 亲属 adj.民间的
follow	vt.跟随 沿行 遵循 听得懂 结果是 vi.跟着做 之后是 n.跟随
following	adj.接着的 下列的 其次的 prep.在(某事)以后 n.下列各项部下 党羽
fond	adj.喜爱的 溺爱的 愚蠢的 渴望的 n.基础
food	n.食物 食品 养料

单词	释义
fool	n.蠢人 傻子 受骗者 vt.欺骗 愚弄 vi.干傻事 开玩笑 adj.愚蠢的
foolish	adj.愚蠢的 鲁莽的 荒谬的 可笑的
foot	n.脚 最下部 英尺 ft脚 最底部 一步长 音步 进程 vi.跳舞步行 vt.表演舞步 付账 踩踏 结算
football	n.足球比赛 足球 橄榄球
footstep	n.脚步 脚步声 足迹
for	prep.为 给 因为 关于 代表 支持 往 conj.因为
forbid	vt.禁止 不许 阻止 妨碍
forbid	adj.被禁止的
force	vt.强迫 施暴 强夺 加压力 [计算机] 强制 n.力 力量 武力暴力 影响力
forecast	n.预测 预报 vt. & vi.预示 预测
forehead	n.额头 前部
foreign	adj.外国的 外来的 外交的 不相关的
foreigner	n.外国人
foremost	adj.最初的 第一流的 adv.在最前面
forest	n.森林 森林地带 园林 林火 vt.用树林覆盖 植树
forever	adv.永远 总是 老是 n.漫长时间
forget	vt. & vi.忘记 遗忘 忽略
forgive	vt. & vi.原谅 饶恕 宽恕
fork	n.餐叉 叉 叉状物 vt. & vi.叉起 耙 成叉状
form	n.形式 形状 表格 vt.形成 组成 建立
formal	adj.正式的 礼仪上的 形式的 拘谨的 n.正式(活动)
formation	n.形成 构成 形成物 编队
former	adj.在前的 以前的 前任的 n.前者 形成的原因
formula	n.公式 式 配方 规则 代乳品 adj.(赛车的)级的 方程式的
forth	adv.向前 向外 往外 露出
fortnight	n.两星期 十四天
fortunate	adj.幸运的 侥幸的
fortunately	adv.幸运地 幸亏
fortune	n.命运 运气 财产
forty	num. & adj.四十 第四十 pron.四十(个 只...)
forward	adv.向前 今后 往后 adj.向前的 早的 迅速的 前锋 v.转交促进 运送
found	vt.创立 创办 建立 打地基 铸造 vbl.寻找(find的过去分词) adj.装备完善的 n.食宿
foundation	n.基础 根据 建立 地基 基金
fountain	n.泉水 喷泉 源泉 储水容器 vt. & vi.使像喷泉一样流
four	num.四 四个 第四 fourteen num.十四 第十四
fourth	num.第四 四分之一 n.四分之一
fox	n.狐狸 狡猾的人 v.奸狡地行动
fraction	n.小部分 片断 分数 破片
fragment	n.碎片 破片 碎块 vt. & vi.变成碎片 [计算机] 碎片
frame	n.框架 框子 构架
framework	n.框架 构架 结构 骨架 v.构成 把...框起来 陷害 adj.木结构的
France	n.法国 法兰西

单词	释义
frank	adj.坦白的 直率的 无误的 vt.免费邮寄 使自由出入 n.免费邮寄
free	adj.自由的 空闲的 大方的 免费的 vt.释放 解放 adv.自由地免费地
freedom	n.自由 自主
freely	adv.自由地 免费地 直率地 大量地
freeze	vi.冻 结冻 冷动 僵硬 [计算机] 冻结 vt.使结冰
freight	n.货运 货物 运费 船货 vt.装货 运送 使充满(某种心情或口气)
French	adj.法国(人)的 法语的 n.法国人 法语 vt.剁肉 蔬菜切成长条
frequency	n.屡次 次数 频率 频繁
frequent	adj.时常发生的 经常的 频繁的 vt.常到 常去
frequently	adv.时常 常常 经常地 频繁地
fresh	adj.新的 新鲜的 无经验的 淡(水)的 精神饱满的 纯洁无瑕的生动的 adv.最近地 n.涌流
friction	n.摩擦 摩擦力 分歧
Friday	n.星期五
